experiment,instrument,family,is_selected_family,threshold,n,accuracy,precision,recall,f1,avg_precision,brier,log_loss,roc_auc,tn,fp,fn,tp
+ signal_history,gc1s,logistic,0,0.7,24.0,0.7916666666666666,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.8598235098235099,0.22579429885134092,0.6427164406398954,0.8041958041958042,8.0,3.0,2.0,11.0
+ signal_history,gc1s,random_forest,0,0.5,24.0,0.5416666666666666,0.5454545454545454,0.9230769230769231,0.6857142857142857,0.8640160564073608,0.2208572049367409,0.6296985671202194,0.8181818181818182,1.0,10.0,1.0,12.0
+ signal_history,gc1s,random_forest,0,0.55,24.0,0.625,0.6,0.9230769230769231,0.7272727272727273,0.8640160564073608,0.2208572049367409,0.6296985671202194,0.8181818181818182,3.0,8.0,1.0,12.0
+ signal_history,gc1s,random_forest,0,0.6,24.0,0.7083333333333334,0.7142857142857143,0.7692307692307693,0.7407407407407407,0.8640160564073608,0.2208572049367409,0.6296985671202194,0.8181818181818182,7.0,4.0,3.0,10.0
+ signal_history,gc1s,random_forest,0,0.65,24.0,0.7083333333333334,0.875,0.5384615384615384,0.6666666666666666,0.8640160564073608,0.2208572049367409,0.6296985671202194,0.8181818181818182,10.0,1.0,6.0,7.0
+ signal_history,gc1s,random_forest,0,0.7,24.0,0.6666666666666666,1.0,0.38461538461538464,0.5555555555555556,0.8640160564073608,0.2208572049367409,0.6296985671202194,0.8181818181818182,11.0,0.0,8.0,5.0
+ signal_history,gc1s,extra_trees,0,0.5,24.0,0.625,0.6,0.9230769230769231,0.7272727272727273,0.866669818366651,0.21451081003792183,0.6198874868175425,0.8251748251748252,3.0,8.0,1.0,12.0
+ signal_history,gc1s,extra_trees,0,0.55,24.0,0.7083333333333334,0.6875,0.8461538461538461,0.7586206896551724,0.866669818366651,0.21451081003792183,0.6198874868175425,0.8251748251748252,6.0,5.0,2.0,11.0
+ signal_history,gc1s,extra_trees,0,0.6,24.0,0.7083333333333334,0.875,0.5384615384615384,0.6666666666666666,0.866669818366651,0.21451081003792183,0.6198874868175425,0.8251748251748252,10.0,1.0,6.0,7.0
+ signal_history,gc1s,extra_trees,0,0.65,24.0,0.5833333333333334,1.0,0.23076923076923078,0.375,0.866669818366651,0.21451081003792183,0.6198874868175425,0.8251748251748252,11.0,0.0,10.0,3.0
+ signal_history,gc1s,extra_trees,0,0.7,24.0,0.5,1.0,0.07692307692307693,0.14285714285714285,0.866669818366651,0.21451081003792183,0.6198874868175425,0.8251748251748252,11.0,0.0,12.0,1.0
+ signal_history,gc1s,hist_gradient_boosting,0,0.5,24.0,0.5416666666666666,0.5416666666666666,1.0,0.7027027027027027,0.7957492355089609,0.33372184758200835,1.010566035426322,0.7482517482517482,0.0,11.0,0.0,13.0
+ signal_history,gc1s,hist_gradient_boosting,0,0.55,24.0,0.5416666666666666,0.5416666666666666,1.0,0.7027027027027027,0.7957492355089609,0.33372184758200835,1.010566035426322,0.7482517482517482,0.0,11.0,0.0,13.0
+ signal_history,gc1s,hist_gradient_boosting,0,0.6,24.0,0.5833333333333334,0.5652173913043478,1.0,0.7222222222222222,0.7957492355089609,0.33372184758200835,1.010566035426322,0.7482517482517482,1.0,10.0,0.0,13.0
+ signal_history,gc1s,hist_gradient_boosting,0,0.65,24.0,0.5416666666666666,0.5454545454545454,0.9230769230769231,0.6857142857142857,0.7957492355089609,0.33372184758200835,1.010566035426322,0.7482517482517482,1.0,10.0,1.0,12.0
+ signal_history,gc1s,hist_gradient_boosting,0,0.7,24.0,0.5416666666666666,0.5454545454545454,0.9230769230769231,0.6857142857142857,0.7957492355089609,0.33372184758200835,1.010566035426322,0.7482517482517482,1.0,10.0,1.0,12.0
+ signal_history,gc1s,adaboost,0,0.5,24.0,0.5416666666666666,0.5416666666666666,1.0,0.7027027027027027,0.8308857808857808,0.2601092581711189,0.7130800967428251,0.8356643356643356,0.0,11.0,0.0,13.0
+ signal_history,gc1s,adaboost,0,0.55,24.0,0.5416666666666666,0.5416666666666666,1.0,0.7027027027027027,0.8308857808857808,0.2601092581711189,0.7130800967428251,0.8356643356643356,0.0,11.0,0.0,13.0
+ signal_history,gc1s,adaboost,0,0.6,24.0,0.5416666666666666,0.5416666666666666,1.0,0.7027027027027027,0.8308857808857808,0.2601092581711189,0.7130800967428251,0.8356643356643356,0.0,11.0,0.0,13.0
+ signal_history,gc1s,adaboost,0,0.65,24.0,0.7083333333333334,0.65,1.0,0.7878787878787878,0.8308857808857808,0.2601092581711189,0.7130800967428251,0.8356643356643356,4.0,7.0,0.0,13.0
+ signal_history,gc1s,adaboost,0,0.7,24.0,0.7083333333333334,0.65,1.0,0.7878787878787878,0.8308857808857808,0.2601092581711189,0.7130800967428251,0.8356643356643356,4.0,7.0,0.0,13.0
+ signal_history,gc1s,mlp,1,0.5,24.0,0.625,0.6,0.9230769230769231,0.7272727272727273,0.8795799851229716,0.19714869751599282,0.5654276941627359,0.8531468531468531,3.0,8.0,1.0,12.0
+ signal_history,gc1s,mlp,1,0.55,24.0,0.625,0.6,0.9230769230769231,0.7272727272727273,0.8795799851229716,0.19714869751599282,0.5654276941627359,0.8531468531468531,3.0,8.0,1.0,12.0
+ signal_history,gc1s,mlp,1,0.6,24.0,0.75,0.7058823529411765,0.9230769230769231,0.8,0.8795799851229716,0.19714869751599282,0.5654276941627359,0.8531468531468531,6.0,5.0,1.0,12.0
+ signal_history,gc1s,mlp,1,0.65,24.0,0.7916666666666666,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.8795799851229716,0.19714869751599282,0.5654276941627359,0.8531468531468531,8.0,3.0,2.0,11.0
+ signal_history,gc1s,mlp,1,0.7,24.0,0.8333333333333334,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8795799851229716,0.19714869751599282,0.5654276941627359,0.8531468531468531,9.0,2.0,2.0,11.0
+ signal_history,si1s,logistic,0,0.5,114.0,0.4824561403508772,0.42857142857142855,0.33962264150943394,0.37894736842105264,0.47540150002639814,0.3033948861412231,0.8311985288379679,0.4729353541602227,37.0,24.0,35.0,18.0
+ signal_history,si1s,logistic,0,0.55,114.0,0.4824561403508772,0.4117647058823529,0.2641509433962264,0.3218390804597701,0.47540150002639814,0.3033948861412231,0.8311985288379679,0.4729353541602227,41.0,20.0,39.0,14.0
+ signal_history,si1s,logistic,0,0.6,114.0,0.5,0.43333333333333335,0.24528301886792453,0.3132530120481928,0.47540150002639814,0.3033948861412231,0.8311985288379679,0.4729353541602227,44.0,17.0,40.0,13.0
+ signal_history,si1s,logistic,0,0.65,114.0,0.45614035087719296,0.32,0.1509433962264151,0.20512820512820512,0.47540150002639814,0.3033948861412231,0.8311985288379679,0.4729353541602227,44.0,17.0,45.0,8.0
+ signal_history,si1s,logistic,0,0.7,114.0,0.49122807017543857,0.3684210526315789,0.1320754716981132,0.19444444444444445,0.47540150002639814,0.3033948861412231,0.8311985288379679,0.4729353541602227,49.0,12.0,46.0,7.0
+ signal_history,si1s,random_forest,0,0.5,114.0,0.5350877192982456,0.5,0.6792452830188679,0.576,0.5627832984562869,0.25238659025469923,0.6982178787836473,0.5567584287039901,25.0,36.0,17.0,36.0
+ signal_history,si1s,random_forest,0,0.55,114.0,0.5614035087719298,0.5365853658536586,0.41509433962264153,0.46808510638297873,0.5627832984562869,0.25238659025469923,0.6982178787836473,0.5567584287039901,42.0,19.0,31.0,22.0
+ signal_history,si1s,random_forest,0,0.6,114.0,0.5614035087719298,0.5652173913043478,0.24528301886792453,0.34210526315789475,0.5627832984562869,0.25238659025469923,0.6982178787836473,0.5567584287039901,51.0,10.0,40.0,13.0
+ signal_history,si1s,random_forest,0,0.65,114.0,0.5789473684210527,0.6666666666666666,0.18867924528301888,0.29411764705882354,0.5627832984562869,0.25238659025469923,0.6982178787836473,0.5567584287039901,56.0,5.0,43.0,10.0
+ signal_history,si1s,random_forest,0,0.7,114.0,0.5614035087719298,0.8,0.07547169811320754,0.13793103448275862,0.5627832984562869,0.25238659025469923,0.6982178787836473,0.5567584287039901,60.0,1.0,49.0,4.0
+ signal_history,si1s,extra_trees,0,0.5,114.0,0.49122807017543857,0.4603174603174603,0.5471698113207547,0.5,0.5305187243692029,0.2480596302870168,0.688584859069471,0.5372718836993504,27.0,34.0,24.0,29.0
+ signal_history,si1s,extra_trees,0,0.55,114.0,0.49122807017543857,0.42857142857142855,0.2830188679245283,0.3409090909090909,0.5305187243692029,0.2480596302870168,0.688584859069471,0.5372718836993504,41.0,20.0,38.0,15.0
+ signal_history,si1s,extra_trees,0,0.6,114.0,0.5614035087719298,0.6153846153846154,0.1509433962264151,0.24242424242424243,0.5305187243692029,0.2480596302870168,0.688584859069471,0.5372718836993504,56.0,5.0,45.0,8.0
+ signal_history,si1s,extra_trees,0,0.65,114.0,0.5526315789473685,0.625,0.09433962264150944,0.16393442622950818,0.5305187243692029,0.2480596302870168,0.688584859069471,0.5372718836993504,58.0,3.0,48.0,5.0
+ signal_history,si1s,extra_trees,0,0.7,114.0,0.543859649122807,1.0,0.018867924528301886,0.037037037037037035,0.5305187243692029,0.2480596302870168,0.688584859069471,0.5372718836993504,61.0,0.0,52.0,1.0
+ signal_history,si1s,hist_gradient_boosting,1,0.5,114.0,0.5263157894736842,0.4918032786885246,0.5660377358490566,0.5263157894736842,0.5342263528268171,0.2669040906181809,0.7347726340792053,0.5542839467986391,30.0,31.0,23.0,30.0
